draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Mathew,1,"Lamar Jackson Bal, QB",32,Lamar Jackson,361,30,QB,Bal,half,27,4,2,8,3,61,30.8,10.3,21,-6,Lamar Jackson Bal QB
Jill,2,"Alvin Kamara NO, RB",58,Alvin Kamara,256,55,RB,NO,half,4,1,4,6,2,18,5.1,2.1,5,1,Alvin Kamara NO RB
Chappy,3,"Saquon Barkley NYG, RB",80,Saquon Barkley,277,63,RB,NYG,half,2,1,2,11,1,6,2.2,0.6,2,0,Saquon Barkley NYG RB
Chappy,4,"Justin Tucker Bal, K",2,Justin Tucker,127,1,K,Bal,half,169,9,2,8,35,230,164.7,22.2,112,-57,Justin Tucker Bal K
Jesse,5,"Josh Jacobs LV, RB",44,Josh Jacobs,217,41,RB,LV,half,13,3,9,6,2,73,14.7,6.5,14,1,Josh Jacobs LV RB
Miles,6,"Melvin Gordon Den, RB",33,Melvin Gordon,186,30,RB,Den,half,43,5,21,8,15,77,41.4,9,37,-6,Melvin Gordon Den RB
Miles,7,"Clyde Edwards-Helaire KC, RB",61,Clyde Edwards-Helaire,229,46,RB,KC,half,9,2,7,10,1,294,10.6,5.6,15,6,Clyde Edwards-Helaire KC RB
Britt,8,"Christian McCaffrey Car, RB",85,Christian McCaffrey,324,73,RB,Car,half,1,1,1,13,1,4,1.1,0.4,1,0,Christian McCaffrey Car RB
Mathew,9,"Nick Chubb Cle, RB",38,Nick Chubb,213,40,RB,Cle,half,15,3,11,9,6,53,17.3,7.1,12,-3,Nick Chubb Cle RB
Noah,10,"Ezekiel Elliott Dal, RB",80,Ezekiel Elliott,274,61,RB,Dal,half,3,1,3,10,2,10,3.2,1,3,0,Ezekiel Elliott Dal RB
Chappy,11,"Mecole Hardman KC, WR",7,Mecole Hardman,106,0,WR,KC,half,141,9,52,10,69,284,146.3,34.5,141,0,Mecole Hardman KC WR
Jordan,12,"Dalvin Cook Min, RB",70,Dalvin Cook,261,57,RB,Min,half,5,1,5,7,2,22,6.6,2.7,7,2,Dalvin Cook Min RB
Christian,13,"Michael Thomas NO, WR",64,Michael Thomas,273,52,WR,NO,half,7,2,1,6,3,17,7.2,2.2,4,-3,Michael Thomas NO WR
Hawker,14,"Rob Gronkowski TB, TE",19,Rob Gronkowski,116,4,TE,TB,half,103,7,12,13,42,191,111.2,26,80,-23,Rob Gronkowski TB TE
Mathew,15,"Derrick Henry Ten, RB",80,Derrick Henry,251,54,RB,Ten,half,6,1,6,7,2,21,6.7,2.7,6,0,Derrick Henry Ten RB
Chappy,16,"Wil Lutz NO, K",3,Wil Lutz,130,1,K,NO,half,172,9,3,6,40,236,172.9,22.8,129,-43,Wil Lutz NO K
Eric,17,"Miles Sanders Phi, RB",47,Miles Sanders,224,44,RB,Phi,half,14,3,10,9,5,32,16,6.3,24,10,Miles Sanders Phi RB
Eric,18,"Deshaun Watson Hou, QB",14,Deshaun Watson,313,16,QB,Hou,half,59,6,4,8,9,104,63.4,10.7,60,1,Deshaun Watson Hou QB
Miles,19,"Austin Ekeler LAC, RB",61,Austin Ekeler,220,42,RB,LAC,half,17,3,12,10,4,43,18.2,7,23,6,Austin Ekeler LAC RB
Eric,20,"Travis Kelce KC, TE",35,Travis Kelce,206,34,TE,KC,half,16,3,1,10,8,44,18.2,4.3,17,1,Travis Kelce KC TE
Jill,21,"49ers D/ST SF, D/ST",2,San Francisco 49ers,118,2,D/ST,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco 49ers SF D/ST
Hawker,22,"Harrison Butker KC, K",3,Harrison Butker,131,1,K,KC,half,166,9,1,10,37,235,163.4,22.6,117,-49,Harrison Butker KC K
Chappy,23,"DK Metcalf Sea, WR",18,D.K. Metcalf,175,14,WR,Sea,half,51,5,22,6,24,120,55.2,16,52,1,D.K. Metcalf Sea WR
Brack,24,"Davante Adams GB, WR",60,Davante Adams,249,46,WR,GB,half,8,2,2,5,3,19,10.4,2.6,8,0,Davante Adams GB WR
Eric,25,"Steelers D/ST Pit, D/ST",3,Pittsburgh Steelers,122,2,D/ST,Pit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pittsburgh Steelers Pit D/ST
